date,complaint_id,customer_id,region,category,channel,volume,segment,week_of_year,month,quarter
2024-04-22,CP200000,C100912,South,Login,CallCenter,1,56+,17,4,2
2024-10-10,CP200001,C102112,South,Fees,Branch,1,18-25,41,10,4
2024-09-30,CP200002,C102444,South,Card,Digital,1,26-40,40,9,3
2024-06-08,CP200003,C105078,East,Service,Digital,1,26-40,23,6,2
2024-04-20,CP200004,C107117,West,Card,Digital,1,41-55,16,4,2
2024-01-08,CP200005,C105097,North,Card,CallCenter,1,41-55,2,1,1
2024-04-06,CP200006,C101484,East,Card,Digital,1,41-55,14,4,2
2024-06-03,CP200007,C103972,West,Fees,Digital,1,26-40,23,6,2
2024-07-16,CP200008,C100212,East,Login,Digital,1,18-25,29,7,3
2024-04-20,CP200009,C101695,South,Login,Digital,1,26-40,16,4,2
2024-10-03,CP200010,C103312,South,Login,Digital,1,26-40,40,10,4
2024-06-04,CP200011,C102411,North,Login,Digital,1,56+,23,6,2
2024-03-22,CP200012,C103190,South,Login,Branch,1,18-25,12,3,1
2024-01-10,CP200013,C107780,North,Service,Branch,1,41-55,2,1,1
2024-12-22,CP200014,C100216,West,Login,Digital,1,18-25,51,12,4
2024-03-06,CP200015,C101128,South,Card,Digital,1,41-55,10,3,1
2024-01-03,CP200016,C103955,East,Login,Branch,1,26-40,1,1,1
2024-11-07,CP200017,C104044,North,Service,Branch,1,26-40,45,11,4
2024-04-25,CP200018,C103593,East,Service,Branch,1,18-25,17,4,2
2024-09-12,CP200019,C106043,West,Fees,Digital,1,56+,37,9,3
2024-10-15,CP200020,C101315,West,Card,Digital,1,41-55,42,10,4
2024-03-18,CP200021,C106382,East,Fees,Branch,1,41-55,12,3,1
2024-07-31,CP200022,C104622,East,Login,Digital,1,41-55,31,7,3
2024-04-11,CP200023,C102001,East,Login,Digital,1,26-40,15,4,2
2024-05-11,CP200024,C107195,East,Fees,Digital,1,56+,19,5,2
2024-03-26,CP200025,C107354,North,Login,Branch,1,26-40,13,3,1
2024-08-21,CP200026,C102338,South,Fees,Digital,1,26-40,34,8,3
2024-10-09,CP200027,C104876,East,Fees,CallCenter,1,26-40,41,10,4
2024-12-15,CP200028,C107371,North,Card,Digital,1,41-55,50,12,4
2024-06-15,CP200029,C101417,East,Login,Branch,1,26-40,24,6,2
2024-04-01,CP200030,C100734,East,Login,Digital,1,18-25,14,4,2
2024-11-30,CP200031,C102083,West,Fees,Digital,1,18-25,48,11,4
2024-03-20,CP200032,C103174,South,Login,CallCenter,1,41-55,12,3,1
2024-04-13,CP200033,C103672,South,Login,Digital,1,26-40,15,4,2
2024-01-20,CP200034,C100185,West,Login,Digital,1,41-55,3,1,1
2024-11-18,CP200035,C100693,North,Fees,Digital,1,26-40,47,11,4
2024-08-01,CP200036,C106190,North,Login,Branch,1,41-55,31,8,3
2024-02-20,CP200037,C100814,West,Login,Digital,1,18-25,8,2,1
2024-01-06,CP200038,C106434,North,Login,CallCenter,1,26-40,1,1,1
2024-11-19,CP200039,C106205,North,Card,Digital,1,41-55,47,11,4
2024-04-02,CP200040,C101414,West,Login,CallCenter,1,18-25,14,4,2
2024-04-13,CP200041,C102714,South,Card,Branch,1,56+,15,4,2
2024-09-15,CP200042,C100653,North,Login,Digital,1,26-40,37,9,3
2024-05-23,CP200043,C106273,West,Service,Digital,1,18-25,21,5,2
2024-03-26,CP200044,C106454,East,Login,Branch,1,41-55,13,3,1
2024-06-19,CP200045,C104585,South,Login,Digital,1,41-55,25,6,2
2024-05-24,CP200046,C107170,South,Login,CallCenter,1,26-40,21,5,2
2024-10-04,CP200047,C100409,East,Fees,Digital,1,56+,40,10,4
2024-01-11,CP200048,C106427,North,Fees,Digital,1,26-40,2,1,1
2024-02-05,CP200049,C103059,North,Fees,Digital,1,26-40,6,2,1
2024-11-05,CP200050,C100385,South,Card,Branch,1,56+,45,11,4
2024-08-12,CP200051,C100934,East,Login,Digital,1,41-55,33,8,3
2024-06-12,CP200052,C100335,East,Login,Digital,1,41-55,24,6,2
2024-09-04,CP200053,C102817,East,Fees,Digital,1,26-40,36,9,3
2024-11-03,CP200054,C107050,West,Card,Branch,1,56+,44,11,4
2024-06-16,CP200055,C104853,South,Login,Digital,1,18-25,24,6,2
2024-10-28,CP200056,C101628,West,Login,Digital,1,18-25,44,10,4
2024-01-30,CP200057,C106069,East,Fees,Digital,1,18-25,5,1,1
2024-12-26,CP200058,C107758,East,Login,Digital,1,26-40,52,12,4
2024-11-14,CP200059,C101381,South,Login,Branch,1,18-25,46,11,4
2024-04-15,CP200060,C105293,South,Service,Branch,1,41-55,16,4,2
2024-03-27,CP200061,C101266,South,Login,CallCenter,1,18-25,13,3,1
2024-01-27,CP200062,C104662,South,Login,Digital,1,26-40,4,1,1
2024-12-06,CP200063,C101413,West,Fees,Digital,1,56+,49,12,4
2024-01-26,CP200064,C104682,North,Fees,Digital,1,41-55,4,1,1
2024-05-07,CP200065,C101213,North,Login,CallCenter,1,26-40,19,5,2
2024-10-21,CP200066,C105079,West,Login,Digital,1,41-55,43,10,4
2024-11-03,CP200067,C104310,West,Service,Branch,1,26-40,44,11,4
2024-06-13,CP200068,C106680,West,Card,Digital,1,41-55,24,6,2
2024-08-09,CP200069,C105976,South,Login,Digital,1,41-55,32,8,3
2024-03-16,CP200070,C102798,West,Card,Digital,1,41-55,11,3,1
2024-09-27,CP200071,C107447,South,Fees,Digital,1,26-40,39,9,3
2024-06-18,CP200072,C106862,South,Card,CallCenter,1,18-25,25,6,2
2024-07-10,CP200073,C101835,North,Fees,Digital,1,18-25,28,7,3
2024-11-04,CP200074,C104780,North,Fees,Digital,1,26-40,45,11,4
2024-05-27,CP200075,C104087,North,Service,Digital,1,41-55,22,5,2
2024-11-23,CP200076,C103740,South,Service,Digital,1,18-25,47,11,4
2024-11-06,CP200077,C100230,South,Card,CallCenter,1,18-25,45,11,4
2024-07-01,CP200078,C101303,South,Service,Branch,1,26-40,27,7,3
2024-03-18,CP200079,C101620,North,Card,Digital,1,18-25,12,3,1
2024-11-23,CP200080,C101529,South,Card,Digital,1,26-40,47,11,4
2024-07-11,CP200081,C101111,South,Login,CallCenter,1,26-40,28,7,3
2024-07-06,CP200082,C100683,West,Service,Digital,1,26-40,27,7,3
2024-01-06,CP200083,C100033,South,Service,Digital,1,26-40,1,1,1
2024-12-26,CP200084,C106800,North,Login,Digital,1,26-40,52,12,4
2024-08-12,CP200085,C107898,North,Card,Digital,1,56+,33,8,3
2024-01-11,CP200086,C101904,South,Fees,Digital,1,41-55,2,1,1
2024-05-25,CP200087,C102047,South,Login,CallCenter,1,26-40,21,5,2
2024-09-04,CP200088,C100528,East,Login,CallCenter,1,41-55,36,9,3
2024-11-02,CP200089,C104627,South,Login,Branch,1,26-40,44,11,4
2024-11-30,CP200090,C102639,South,Card,Digital,1,18-25,48,11,4
2024-05-24,CP200091,C107940,South,Fees,Branch,1,18-25,21,5,2
2024-01-20,CP200092,C101157,North,Card,Digital,1,18-25,3,1,1
2024-05-08,CP200093,C107487,South,Card,Branch,1,18-25,19,5,2
2024-12-13,CP200094,C100627,West,Login,Digital,1,18-25,50,12,4
2024-07-09,CP200095,C106967,South,Fees,Digital,1,18-25,28,7,3
2024-05-05,CP200096,C107855,West,Login,Digital,1,41-55,18,5,2
2024-02-24,CP200097,C102180,West,Login,CallCenter,1,41-55,8,2,1
2024-12-18,CP200098,C104471,South,Fees,CallCenter,1,26-40,51,12,4
2024-01-22,CP200099,C106607,South,Card,Digital,1,26-40,4,1,1
2024-12-31,CP200100,C101357,East,Login,Branch,1,26-40,1,12,4
2024-08-10,CP200101,C105385,South,Fees,Branch,1,41-55,32,8,3
2024-08-03,CP200102,C104826,West,Login,CallCenter,1,18-25,31,8,3
2024-03-15,CP200103,C105696,North,Card,Branch,1,18-25,11,3,1
2024-12-24,CP200104,C107135,South,Login,CallCenter,1,41-55,52,12,4
2024-05-01,CP200105,C104238,West,Card,Digital,1,26-40,18,5,2
2024-07-15,CP200106,C101965,North,Login,Branch,1,18-25,29,7,3
2024-07-07,CP200107,C104884,West,Login,Branch,1,56+,27,7,3
2024-07-10,CP200108,C102244,South,Service,Branch,1,26-40,28,7,3
2024-07-13,CP200109,C107241,East,Card,Branch,1,26-40,28,7,3
2024-01-21,CP200110,C103962,East,Service,CallCenter,1,41-55,3,1,1
2024-04-21,CP200111,C102803,North,Fees,Digital,1,26-40,16,4,2
2024-06-07,CP200112,C100028,West,Login,CallCenter,1,18-25,23,6,2
2024-10-21,CP200113,C107326,South,Card,Branch,1,56+,43,10,4
2024-05-05,CP200114,C101391,West,Login,Branch,1,41-55,18,5,2
2024-10-03,CP200115,C103765,North,Login,Branch,1,41-55,40,10,4
2024-01-03,CP200116,C102892,West,Fees,Digital,1,41-55,1,1,1
2024-12-30,CP200117,C100668,South,Card,Digital,1,26-40,1,12,4
2024-03-26,CP200118,C105858,South,Service,Digital,1,26-40,13,3,1
2024-05-06,CP200119,C104044,North,Service,Branch,1,26-40,19,5,2
2024-05-21,CP200120,C106225,West,Fees,Branch,1,18-25,21,5,2
2024-06-26,CP200121,C100030,South,Card,Digital,1,41-55,26,6,2
2024-04-23,CP200122,C107403,East,Login,CallCenter,1,26-40,17,4,2
2024-03-12,CP200123,C101552,South,Service,Digital,1,26-40,11,3,1
2024-02-13,CP200124,C103888,East,Card,Digital,1,56+,7,2,1
2024-10-15,CP200125,C107908,South,Login,Branch,1,26-40,42,10,4
2024-04-22,CP200126,C100886,North,Service,Digital,1,26-40,17,4,2
2024-10-31,CP200127,C104298,South,Login,Branch,1,26-40,44,10,4
2024-11-19,CP200128,C104539,East,Login,Branch,1,26-40,47,11,4
2024-08-24,CP200129,C107736,South,Card,CallCenter,1,41-55,34,8,3
2024-02-19,CP200130,C103283,North,Login,Branch,1,18-25,8,2,1
2024-04-14,CP200131,C103678,South,Login,Digital,1,26-40,15,4,2
2024-10-01,CP200132,C100422,East,Login,Digital,1,18-25,40,10,4
2024-05-11,CP200133,C100493,West,Fees,Digital,1,26-40,19,5,2
2024-06-29,CP200134,C104044,North,Login,Digital,1,26-40,26,6,2
2024-09-27,CP200135,C102651,South,Login,Digital,1,26-40,39,9,3
2024-11-02,CP200136,C107489,West,Card,Branch,1,18-25,44,11,4
2024-03-02,CP200137,C102450,South,Fees,Branch,1,41-55,9,3,1
2024-01-01,CP200138,C100126,South,Login,Digital,1,26-40,1,1,1
2024-02-20,CP200139,C101435,South,Card,Digital,1,56+,8,2,1
2024-08-07,CP200140,C102962,West,Login,Branch,1,18-25,32,8,3
2024-07-31,CP200141,C104756,South,Card,Digital,1,26-40,31,7,3
2024-04-13,CP200142,C103859,South,Fees,Branch,1,18-25,15,4,2
2024-01-30,CP200143,C101284,South,Login,Digital,1,56+,5,1,1
2024-01-09,CP200144,C101371,North,Login,Digital,1,56+,2,1,1
2024-12-03,CP200145,C101655,East,Fees,CallCenter,1,26-40,49,12,4
2024-10-03,CP200146,C106653,South,Service,CallCenter,1,26-40,40,10,4
2024-12-17,CP200147,C101218,East,Card,Digital,1,41-55,51,12,4
2024-07-01,CP200148,C101249,West,Login,Digital,1,56+,27,7,3
2024-01-22,CP200149,C106669,South,Login,Digital,1,41-55,4,1,1
2024-11-26,CP200150,C103372,North,Card,Digital,1,56+,48,11,4
2024-04-18,CP200151,C106910,South,Service,Branch,1,41-55,16,4,2
2024-08-24,CP200152,C106133,South,Card,Branch,1,26-40,34,8,3
2024-10-22,CP200153,C100330,South,Card,Digital,1,41-55,43,10,4
2024-06-02,CP200154,C104128,North,Card,Branch,1,41-55,22,6,2
2024-08-01,CP200155,C100521,South,Card,Digital,1,26-40,31,8,3
2024-09-17,CP200156,C104574,South,Service,Branch,1,41-55,38,9,3
2024-11-06,CP200157,C100260,South,Login,Branch,1,18-25,45,11,4
2024-03-16,CP200158,C104364,West,Login,Branch,1,41-55,11,3,1
2024-09-05,CP200159,C103498,South,Fees,Digital,1,26-40,36,9,3
2024-04-11,CP200160,C100611,East,Card,Digital,1,41-55,15,4,2
2024-09-16,CP200161,C102364,North,Card,Digital,1,41-55,38,9,3
2024-01-12,CP200162,C106762,South,Login,Branch,1,56+,2,1,1
2024-12-11,CP200163,C101335,West,Login,CallCenter,1,56+,50,12,4
2024-11-08,CP200164,C101641,North,Card,Digital,1,18-25,45,11,4
2024-10-17,CP200165,C106591,West,Card,Digital,1,41-55,42,10,4
2024-12-17,CP200166,C106456,South,Login,Digital,1,26-40,51,12,4
2024-07-07,CP200167,C102313,West,Card,Digital,1,18-25,27,7,3
2024-10-27,CP200168,C107621,South,Card,Branch,1,41-55,43,10,4
2024-10-11,CP200169,C107629,South,Service,CallCenter,1,41-55,41,10,4
2024-11-03,CP200170,C101770,South,Login,Digital,1,26-40,44,11,4
2024-09-12,CP200171,C105321,North,Card,Digital,1,41-55,37,9,3
2024-12-04,CP200172,C102705,South,Service,Branch,1,26-40,49,12,4
2024-12-11,CP200173,C104370,West,Card,CallCenter,1,26-40,50,12,4
2024-02-14,CP200174,C107267,North,Card,Digital,1,41-55,7,2,1
2024-04-26,CP200175,C102711,South,Card,Digital,1,26-40,17,4,2
2024-07-17,CP200176,C104326,South,Login,Branch,1,18-25,29,7,3
2024-11-24,CP200177,C107676,East,Fees,Digital,1,26-40,47,11,4
2024-08-21,CP200178,C105819,East,Card,Digital,1,26-40,34,8,3
2024-07-14,CP200179,C101675,North,Card,CallCenter,1,56+,28,7,3
2024-08-12,CP200180,C101451,South,Service,Branch,1,41-55,33,8,3
2024-05-12,CP200181,C103801,South,Login,Digital,1,18-25,19,5,2
2024-10-28,CP200182,C105480,South,Service,Branch,1,18-25,44,10,4
2024-08-07,CP200183,C102978,South,Login,CallCenter,1,41-55,32,8,3
2024-01-19,CP200184,C101529,South,Login,Branch,1,26-40,3,1,1
2024-09-18,CP200185,C100850,South,Card,Branch,1,18-25,38,9,3
2024-11-16,CP200186,C102804,South,Service,Branch,1,18-25,46,11,4
2024-06-05,CP200187,C100054,West,Service,Digital,1,41-55,23,6,2
2024-10-24,CP200188,C107305,East,Fees,Digital,1,26-40,43,10,4
2024-04-12,CP200189,C106443,North,Login,Digital,1,41-55,15,4,2
2024-07-11,CP200190,C103945,East,Service,Digital,1,56+,28,7,3
2024-01-31,CP200191,C104097,North,Login,Digital,1,41-55,5,1,1
2024-12-31,CP200192,C101514,North,Service,CallCenter,1,56+,1,12,4
2024-03-06,CP200193,C103052,West,Login,Branch,1,41-55,10,3,1
2024-08-18,CP200194,C100251,North,Fees,Branch,1,56+,33,8,3
2024-03-16,CP200195,C106536,South,Card,Digital,1,18-25,11,3,1
