date,ticket_id,customer_id,region,type,resolution_time_hours,channel,segment,week_of_year,month,quarter
2024-06-20,TK500000,C100491,West,AppBug,25.01,CallCenter,41-55,25,6,2
2024-11-05,TK500001,C104173,South,Other,17.23,CallCenter,26-40,45,11,4
2024-06-08,TK500002,C107778,South,Other,7.9,Branch,18-25,23,6,2
2024-09-03,TK500003,C100122,East,Transfer,11.5,Digital,18-25,36,9,3
2024-06-24,TK500004,C105608,South,Login,15.57,Digital,26-40,26,6,2
2024-09-05,TK500005,C103847,South,Login,5.61,Digital,41-55,36,9,3
2024-04-27,TK500006,C106750,South,Card,13.4,CallCenter,18-25,17,4,2
2024-06-15,TK500007,C107683,East,Login,19.58,CallCenter,56+,24,6,2
2024-10-26,TK500008,C107714,South,Card,9.45,CallCenter,26-40,43,10,4
2024-12-17,TK500009,C105044,West,Card,14.51,CallCenter,26-40,51,12,4
2024-06-02,TK500010,C104012,West,Transfer,9.9,Branch,56+,22,6,2
2024-02-06,TK500011,C100899,North,Login,16.03,Digital,26-40,6,2,1
2024-11-23,TK500012,C106795,East,Transfer,13.38,Digital,26-40,47,11,4
2024-06-19,TK500013,C107731,South,Card,10.17,Digital,26-40,25,6,2
2024-12-07,TK500014,C100305,North,Other,9.72,Digital,26-40,49,12,4
2024-07-08,TK500015,C102391,West,Card,10.74,CallCenter,41-55,28,7,3
2024-05-15,TK500016,C101490,South,Login,12.84,Branch,18-25,20,5,2
2024-01-31,TK500017,C106198,West,Transfer,7.43,CallCenter,26-40,5,1,1
2024-05-23,TK500018,C100255,South,Transfer,10.59,CallCenter,41-55,21,5,2
2024-01-17,TK500019,C103514,South,Login,11.55,Branch,56+,3,1,1
2024-01-26,TK500020,C104928,North,AppBug,1.0,Digital,41-55,4,1,1
2024-09-01,TK500021,C105869,West,Card,2.61,Digital,18-25,35,9,3
2024-06-12,TK500022,C105668,South,Card,8.61,Digital,41-55,24,6,2
2024-07-04,TK500023,C102573,South,Transfer,15.83,CallCenter,41-55,27,7,3
