customer_id,segment,age_band,region,join_date,primary_channel
C100000,41-55,41-55,South,2020-09-28,Branch
C100001,26-40,26-40,West,2023-02-03,Digital
C100002,56+,56+,South,2021-04-30,Digital
C100003,41-55,41-55,North,2022-02-25,Digital
C100004,18-25,18-25,East,2023-08-20,Digital
C100005,56+,56+,East,2020-10-01,CallCenter
C100006,41-55,41-55,South,2021-09-16,ATM
C100007,41-55,41-55,East,2020-09-12,Digital
C100008,18-25,18-25,West,2021-09-30,Branch
C100009,26-40,26-40,South,2021-03-16,Branch
C100010,26-40,26-40,West,2023-08-30,Digital
C100011,56+,56+,East,2021-03-18,Digital
C100012,41-55,41-55,East,2022-06-16,Branch
C100013,41-55,41-55,South,2020-07-18,Digital
C100014,26-40,26-40,North,2021-10-28,Branch
C100015,26-40,26-40,South,2023-05-04,Digital
C100016,26-40,26-40,East,2022-09-08,Digital
C100017,18-25,18-25,East,2021-02-16,Branch
C100018,41-55,41-55,South,2023-11-20,Branch
C100019,41-55,41-55,South,2023-03-18,CallCenter
C100020,41-55,41-55,South,2021-08-10,Digital
C100021,26-40,26-40,South,2023-11-23,Branch
C100022,56+,56+,West,2020-09-30,CallCenter
C100023,56+,56+,South,2021-04-29,Branch
C100024,41-55,41-55,South,2023-09-21,CallCenter
C100025,18-25,18-25,South,2023-11-18,CallCenter
C100026,26-40,26-40,South,2023-04-17,ATM
C100027,18-25,18-25,East,2020-10-06,CallCenter
C100028,18-25,18-25,West,2020-11-15,Branch
C100029,41-55,41-55,South,2022-08-03,Digital
C100030,41-55,41-55,South,2020-03-22,CallCenter
C100031,56+,56+,South,2023-12-19,ATM
C100032,26-40,26-40,South,2023-10-07,Digital
C100033,26-40,26-40,South,2023-03-27,Digital
C100034,26-40,26-40,North,2023-11-15,Digital
C100035,18-25,18-25,West,2020-12-01,ATM
C100036,18-25,18-25,South,2023-07-11,Digital
C100037,26-40,26-40,South,2021-01-10,Digital
C100038,26-40,26-40,North,2020-06-26,Branch
C100039,41-55,41-55,West,2021-01-18,Digital
C100040,26-40,26-40,North,2023-02-05,CallCenter
C100041,41-55,41-55,South,2023-10-09,Digital
C100042,41-55,41-55,West,2022-06-13,Digital
C100043,26-40,26-40,South,2020-12-24,Digital
C100044,41-55,41-55,West,2022-05-27,ATM
C100045,41-55,41-55,South,2022-01-14,Branch
C100046,26-40,26-40,East,2022-01-26,Digital
C100047,26-40,26-40,West,2021-05-26,Digital
C100048,41-55,41-55,South,2020-07-21,CallCenter
C100049,18-25,18-25,East,2021-06-11,ATM
C100050,18-25,18-25,South,2023-07-24,Branch
C100051,18-25,18-25,East,2021-08-19,Digital
C100052,41-55,41-55,West,2020-01-31,CallCenter
C100053,41-55,41-55,East,2021-05-19,Branch
C100054,41-55,41-55,West,2021-11-04,Digital
C100055,41-55,41-55,South,2022-05-26,CallCenter
C100056,26-40,26-40,South,2022-07-26,ATM
C100057,26-40,26-40,South,2021-09-13,Branch
C100058,18-25,18-25,East,2020-07-28,ATM
C100059,18-25,18-25,West,2021-10-06,Digital
C100060,41-55,41-55,East,2020-01-05,Branch
C100061,26-40,26-40,South,2022-01-09,Digital
C100062,26-40,26-40,South,2021-10-12,Branch
C100063,41-55,41-55,East,2021-06-04,Digital
C100064,41-55,41-55,West,2022-08-24,Digital
C100065,26-40,26-40,North,2023-01-07,CallCenter
C100066,26-40,26-40,North,2021-01-20,Digital
C100067,26-40,26-40,South,2022-01-05,ATM
C100068,18-25,18-25,North,2022-01-14,Digital
C100069,26-40,26-40,West,2022-01-13,Digital
C100070,18-25,18-25,South,2021-08-12,Digital
C100071,26-40,26-40,South,2020-11-02,Digital
C100072,56+,56+,South,2020-09-07,Digital
C100073,26-40,26-40,South,2020-02-15,Digital
C100074,18-25,18-25,West,2020-03-17,Branch
C100075,26-40,26-40,South,2023-03-28,Digital
C100076,26-40,26-40,North,2020-04-12,Digital
C100077,41-55,41-55,South,2023-06-03,Digital
C100078,26-40,26-40,West,2023-08-02,Digital
C100079,41-55,41-55,West,2020-12-18,Digital
C100080,41-55,41-55,South,2021-10-09,Digital
C100081,26-40,26-40,South,2021-06-10,Branch
C100082,41-55,41-55,North,2021-07-29,Branch
C100083,18-25,18-25,South,2021-06-07,ATM
C100084,18-25,18-25,North,2021-05-15,ATM
C100085,18-25,18-25,East,2022-09-26,Branch
C100086,41-55,41-55,West,2021-08-25,Digital
C100087,26-40,26-40,North,2020-09-30,Digital
C100088,18-25,18-25,South,2021-07-07,Branch
C100089,26-40,26-40,North,2023-11-30,Digital
C100090,18-25,18-25,South,2023-12-14,Digital
C100091,41-55,41-55,North,2020-03-31,CallCenter
C100092,26-40,26-40,South,2022-04-21,Digital
C100093,26-40,26-40,West,2023-11-23,Digital
C100094,26-40,26-40,North,2020-10-10,CallCenter
C100095,41-55,41-55,West,2020-04-10,Digital
C100096,26-40,26-40,North,2020-11-05,Digital
C100097,18-25,18-25,South,2021-04-08,Digital
C100098,18-25,18-25,South,2023-09-27,Digital
C100099,56+,56+,West,2021-01-01,CallCenter
C100100,56+,56+,South,2021-04-30,Branch
C100101,41-55,41-55,North,2021-01-14,Digital
C100102,26-40,26-40,East,2021-07-26,Digital
C100103,56+,56+,East,2023-12-24,Digital
C100104,41-55,41-55,East,2020-05-02,Branch
C100105,41-55,41-55,North,2021-10-31,Digital
C100106,26-40,26-40,South,2022-06-15,Digital
C100107,26-40,26-40,West,2020-06-23,Branch
C100108,18-25,18-25,South,2020-03-05,ATM
C100109,56+,56+,South,2023-12-06,CallCenter
C100110,26-40,26-40,South,2021-01-28,ATM
